"1.西南石油大学校训是（  ）。","明德笃志，博学创新"
"2.我校的大学精神是（  ）。","为祖国加油，为民族争气"
"3.到2019年11月1日，西南石油大学建校已有（  ）年。","61"
"4.下列哪项（  ）是我校的优良传统。","实事求是，艰苦奋斗"
"5.对学校给予的处分或者处理有异议，可以向（  ）提出申诉。","学校、教育行政部门"
"6.新生入学后，学校应在（  ）个月内按照国家招生规定对其进行复查。","3"
"7. 复查中发现学生身心状况不适宜在校学习，经学校指定的（  ）诊断，需要在家休养的，可以按照第十条的规定保留入学资格。","二级甲等以上医院"
"8.学生应征参加中国人民解放军（含中国人民武装警察部队），学校应当保留其学籍至退役后（  ）年。","2"
"9.学生自费出国留学，须办理（  ）手续。","休学"
"10.纪律处分的种类分为（  ）。","警告、严重警告、记过、留校察看、开除学籍"
"11.课程考核分为(  )两种。考核和成绩评定方式，以及考核不合格的课程是否重修或者补考，由学校规定。","考试和考查"
"12.学生学期或者学年所修课程或者应修学分数以及升级、跳级、留级、降级、重修等要求，由(  )规定。","学校"
"13.学生对处分决定有异议的，在接到学校处分决定书之日起（  ）内，可以向学生申诉处理委员会提出书面申诉。","10日"
"14.学生休学期满，应当于学期开学前向(  )提出复学申请，经学校复查合格，方可复学。","学校"
"15.学生对复查决定有异议的，在接到学校复查决定书之日起（  ）内，可以向省级教育行政部门提出书面申诉。","15日"
"16.在学生伤害事故中，教育行政部门收到调解申请，认为必要的，应当在受理申请之日起(  )日内完成调解。","60"
"17.考生应提前（）分钟凭有效证件进入考场，对号入座，不得擅自调换座位。","15"
"18.因病经学校指定医院诊断，需停课治疗、休养占当学期总周数（  ）及以上者，应予休学。","1/3"
"19. 申请免听的学生在前期培养阶段课程平均学分绩点必须达到（  ）以上。","3.0"
"20.学生申请免听，应在课程开课前（  ）周，向开课学院提出申请，经任课教师和学院主管教学领导同意。","2"
"21.休学时间以学期（中途休学当学期按一学期计算）为单位，一次不超过（  ）学期。","2"
"22.根据考勤，一学期因伤、因病、因事请假，缺课（不属旷课性质者）累计达到当学期总周数（  ）者，令其休学。","1/3"
"23.休学学生自休学生效之日起（  ）周内必须离校。","1"
"24. 因创业需要的，可保留入学资格最长不超过（  ）年","3"
